rec_id,co2
62002,14.83460878
62006,13.40966743
62008,8.678856582
62021,10.55390181
62077,8.731521128
62078,5.579284647
62122,7.905029001
62194,7.890763132
62218,7.212723613
62238,7.112596737
62261,9.474062339
62262,9.942547535
62267,14.93318036
62285,6.173646711
62376,7.042412508
62377,5.06639645
62436,18.11116035
62437,4.024043337
62473,9.378558934
62495,13.28389016
62506,5.474858444
62561,5.033515292
62573,6.898397725
62574,2.301874985
62579,14.49209593
62584,3.593878435
62599,20.72235054
62613,10.64790237
62619,12.8382359
62620,7.69972214
62623,3.443486268
62634,6.162692414
62640,6.361393811
62647,9.754089086
62666,5.472498087
62671,4.843373947
62686,4.888815976
62692,4.978357196
62695,1.037334776
62713,10.17224416
62720,10.16836269
62740,8.606578973
62742,10.64387355
62745,7.333426554
62751,15.04600247
62756,10.74441356
62769,6.704992251
62775,10.36385329
62792,5.791140393
62793,6.813984168
62847,4.532835239
62849,6.167254003
62855,8.985962901
62860,10.62420214
62869,11.19017509
62871,9.223173183
62898,4.849422767
63035,3.006529372
63075,6.12600286
63076,5.641256248
63085,10.25648032
63256,2.578741918
63287,2.391151291
63310,6.331559016
63530,6.217933609
63532,5.487059811
63788,6.611117227
75739,24.07702786
75776,4.30367345
75781,13.05802669
75821,16.11716727
75825,9.846091736
75827,5.952390202
75829,1.722180139
75841,5.576722142
75846,6.540115566
75853,5.422642396
75855,5.35804523
75860,15.58249719
75866,13.93925729
75867,12.46997659
75883,9.660623073
75895,18.41506353
75907,6.60002738
75912,8.478868629
75913,5.366567857
75927,13.67146138
75972,12.65894306
75975,4.288230644
75985,6.553426094
76001,7.83436386
76006,7.827832065
76023,5.449864591
76026,6.319636414
76027,9.637542847
76030,11.21735014
76037,3.47258231
76112,5.424543058
76153,2.850927034
76216,12.63122816
76220,6.296989362
76246,9.934488728
76274,5.834652882
76275,4.886843708
76279,11.42661981
76285,14.78811594
76293,7.968911283
76311,5.713163155
76318,4.488298749
76321,17.9552542
76344,6.24806367
76355,9.333897797
76378,13.93339912
76393,9.852800336
76415,10.47853423
76419,17.46507788
76488,16.8578585
76506,7.670162573
76508,4.966190012
76530,8.070657699
76576,7.655472371
76585,4.838207977
76615,10.42959321
76686,10.04709043
76690,11.28462709
76722,6.956127167
76744,17.21782208
76788,6.02163736
76794,7.417407527
76796,5.814923716
76804,4.496313944
76833,12.77007609
76849,14.03156522
76852,3.876200415
76854,7.176401814
76866,5.412375285
76867,7.299783363
76870,7.849724745
76910,8.289681151
76917,8.742906241
76956,7.211170079
76969,7.856564771
76979,5.030389955
76994,9.272103591
77003,7.194441896
77006,19.55538649
77011,4.982820952
77014,15.85047462
77029,5.908173436
77036,6.565488962
77044,6.802787058
77053,6.740346333
77054,12.16348968
77073,17.22228348
77077,15.56799204
77079,10.07574475
77092,12.25258446
77148,10.13688536
77149,6.477287046
77193,9.177366934
77265,9.160804359
77289,8.373632656
77309,8.257390524
77332,10.99894079
77333,11.5428307
77338,17.33672043
77356,7.167313408
77447,8.175910174
77448,5.881847646
77507,21.02620658
77508,4.671725012
77544,10.8880659
77566,15.42197169
77577,6.356053098
77632,5.843674102
77644,8.008714976
77645,2.67236853
77650,14.66792573
77655,4.172323854
77670,24.05767352
77684,12.3617137
77690,14.90458733
77691,8.939015665
77694,3.997725504
77705,7.154595769
77711,7.385278972
77718,9.754089086
77737,6.353313198
77742,5.622929151
77757,5.675685636
77763,5.779638588
77766,1.204296885
77784,11.80949742
77791,11.80499123
77811,9.991833911
77813,12.35703778
77816,8.513763016
77822,17.4677005
77827,12.47375905
77840,7.784180489
77846,12.03194736
77863,6.723242142
77864,7.910715074
77918,4.532835239
77920,7.159891691
77926,10.43228066
77931,12.33419919
77940,12.99126718
77942,10.70767097
77969,5.629951876
78106,3.490439103
78146,7.112001491
78147,6.54923344
78156,10.25648032
78327,2.993797883
78358,2.776014135
78381,7.350642132
78601,7.218728526
78603,5.487059811
78859,6.611117227
90810,27.66812514
90847,4.945567976
90852,15.00563654
90892,18.52104916
90896,11.31463928
90898,6.840191498
90900,1.620875442
90912,6.408492511
90917,7.515576573
90924,6.231431551
90926,6.157199648
90931,17.90663261
90937,16.01830337
90938,14.32987781
90954,11.10150818
90966,21.16167752
90978,7.584424151
90983,9.742570779
90984,6.166993509
90998,15.71056468
91043,14.5456504
91046,4.927354625
91056,7.530871451
91072,9.002861996
91077,8.995356002
91094,6.262713796
91097,7.262212726
91098,11.07498613
91101,12.89042189
91108,3.26831271
91183,6.233615692
91224,2.683225583
91287,14.51518087
91291,7.236187506
91317,11.41622127
91345,6.704893829
91346,5.615718423
91350,13.13090484
91356,16.9937691
91364,9.157476874
91382,6.565283868
91389,5.157730186
91392,20.63328758
91415,7.17996504
91426,10.7260517
91449,16.01157061
91464,11.32234919
91486,12.04141237
91490,20.0700009
91559,19.37221453
91577,8.814170164
91579,5.706898926
91601,9.274399119
91647,8.797288749
91656,5.559828351
91686,11.98517045
91757,11.54561834
91761,12.96773434
91793,7.993635802
91815,19.78586696
91859,6.919766471
91865,8.523716591
91867,6.682222025
91875,5.166940588
91904,14.67473865
91920,16.12437858
91923,4.454337308
91925,8.246764497
91937,6.219632713
91938,8.388549169
91941,9.020514284
91981,9.526090384
91988,10.04691362
92027,8.286718476
92040,9.028374479
92050,5.78067467
92065,10.65504178
92074,8.267495563
92077,22.47207938
92082,5.726010451
92085,18.21457875
92100,6.789379877
92107,7.544734202
92115,7.817425278
92124,7.745671603
92125,13.97767836
92144,19.79099432
92148,17.88996454
92150,11.57854547
92163,14.08006187
92219,11.64880572
92220,7.443376759
92264,10.54617422
92336,10.52714167
92360,9.622563273
92380,9.488982978
92403,12.63943667
92404,13.26444742
92409,19.92249774
92427,8.23632058
92518,9.395350178
92519,6.75912782
92578,24.16227182
92579,5.368514489
92615,12.51202454
92637,17.72216526
92648,7.304060295
92703,6.715260541
92715,9.203218295
92716,3.070953269
92721,16.85405364
92726,4.794627712
92741,27.64588533
92755,14.20546784
92761,17.12761224
92762,10.27227262
92765,4.59398764
92776,8.221706405
92782,8.48679601
92789,9.754089086
92808,7.300911973
92813,6.461591409
92828,6.522216339
92834,6.641673979
92837,1.383918139
92855,13.57088836
92862,13.56571031
92882,11.48211914
92884,14.20009413
92887,9.783593843
92893,20.07301367
92898,14.33422488
92911,8.945193847
92917,13.8265165
92934,7.726016105
92935,9.09060127
92989,4.532835239
92991,8.227792059
92997,11.98825866
93002,14.17385026
93011,14.92891934
93013,12.30472331
93040,6.469661414
93177,4.011039568
93217,8.172758906
93218,7.526053494
93227,10.25648032
93398,3.440324097
93429,3.190057592
93452,8.446993495
93672,8.295404354
93674,5.487059811
93930,6.611117227
105881,27.52511521
105918,4.920005398
105923,14.92807656
105963,18.42531827
105967,11.25615783
105969,6.804836237
105971,1.772832487
105983,6.375368539
105988,7.476730578
105995,6.199222844
105997,6.12537461
106002,17.81407832
106008,15.93550877
106009,14.25581034
106025,11.04412763
106037,21.0522984
106049,7.545222186
106054,9.865711872
106055,6.135117786
106069,15.62936133
106114,14.72950011
106117,4.989633868
106127,7.491946482
106143,8.956328486
106148,8.948861388
106165,6.230343017
106168,7.224676272
106169,11.01774232
106172,12.8237944
106179,3.574716815
106254,6.201395787
106295,2.934778055
106358,14.44015511
106362,7.198785424
106388,11.35721411
106416,6.670237541
106417,5.586692219
106421,13.06303382
106427,16.90593199
106435,9.110144201
106453,6.531349536
106460,5.131071412
106463,20.52663834
106486,7.142853508
106497,10.6706113
106520,15.92881136
106535,11.26382648
106557,11.9791732
106561,19.96626306
106630,19.27208471
106648,8.768612031
106650,5.67740183
106672,9.22646236
106718,8.751817841
106727,5.53109093
106757,11.92322242
106828,11.48594168
106832,12.90070727
106864,7.95231865
106886,19.68359896
106930,6.884000431
106936,8.47965954
106938,6.647683018
106946,5.140234076
106975,14.59888779
106991,16.04103588
106994,4.431313955
106996,8.204138983
107008,6.187485298
107009,8.345190501
107012,8.973889424
107052,9.476852334
107059,9.994983411
107098,8.243886688
107111,8.981708954
107121,5.750795674
107136,10.59996797
107145,8.224763376
107148,22.35592742
107153,5.696414344
107156,18.12043204
107171,6.754287468
107178,7.505737332
107186,7.777019266
107195,7.705636293
107196,13.90543081
107215,19.68869922
107219,17.7974963
107221,11.51869907
107234,14.00728508
107290,11.58859511
107291,7.404903823
107335,10.49166382
107407,10.47273028
107431,9.572826631
107451,9.439937057
107474,12.57410694
107475,13.19588686
107480,19.8195237
107498,8.193749287
107589,9.346787527
107590,6.724191589
107649,24.03738329
107650,5.340766002
107686,12.4473537
107708,17.63056336
107719,7.266307548
107774,6.680550621
107786,9.155648702
107787,3.055080237
107792,17.06708102
107797,4.769845436
